CountryID,Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
4,Afghanistan,-2.8,-18.6,0.3,2.9,3.9,3.4,-6.7,6,-3.1,-3.3,3.7,4.5,8,4.7,2.5,4.6,-9.5,-8.6,-8.9,-6.9,-16,-5.6,-30.5,-27.4,41.8,-9.1,-8,-7,-7.5,-8.7,-9.6,57.4,3.1,-2.1,5.7,5.7,12.9,-0.2,14.3,0.4,5.4,7.4,3,-0.2,-4.6,0.8
8,Albania,1.6,1.6,1.7,1.7,1.8,1.8,1.6,2.1,1.8,1.1,3.7,1,-0.8,-3.3,-0.5,3,-3.3,-3.8,7.9,-10.7,-27.9,-6.2,11.3,10,14.6,9.6,-10.9,8.5,12.5,6.7,8.3,4.6,5.8,6,6.2,6.8,7,8.7,4.4,4.5,3,1.6,1,1.7,2.1,3.3
12,Algeria,-12,18.9,1.5,0.9,2.9,3.2,6.3,7,4.3,-2.2,-0.1,3.1,2.2,2.4,0.6,-2.5,-3.5,-3.7,1.6,-1.7,-3.6,-0.5,-4.2,-2.9,1.9,2.3,-0.5,3.5,1.8,2.4,1.7,4.3,5.8,2.9,4.4,0.2,1.8,0.8,-0.1,1.7,0.9,1.3,0.7,1.7,1.7,1.4
20,Andorra,-0.6,2.8,2.7,1,-3.3,-0.2,-0.3,-1.4,-3.1,-1.3,-3.9,-2.9,-2.6,-2.6,-2,-1,1.3,1,0.8,-0.1,-1.4,-2.9,-4.4,-0.4,0.9,3.8,9.1,3.5,3.7,-0.4,1.5,2.4,7.4,3.3,3.8,1.8,-2,-9.9,-4.4,-5.3,-3.9,0,2.4,4.3,2.4,2.2
24,Angola,3.7,-2.2,5.4,0.4,-7.6,-7.8,-2.1,-8.1,-2.8,-0.9,-7.7,-3.5,0.5,2.4,0.3,0.2,4.2,2.9,-2.3,-3.3,-2.1,-8.9,-26.5,-1.9,11.6,10.3,4.4,1.9,-0.7,0,-0.2,10.7,-0.6,7.1,11,7.6,10,7.3,-3,1.1,-0.2,4.7,1.3,0.5,-2.5,-4
660,Anguilla,-3.2,10.7,3.3,-0.8,2.9,1.1,-0.2,7.1,9.4,5,4.5,-0.2,0.8,4.2,11,9.3,5.7,9.8,3.2,19.9,-21.3,24.2,4.1,4.9,-5,-0.1,8.1,7.7,1.3,-1.3,-0.3,-6.4,2.8,11.2,10.5,17.8,11.2,-3,-19.6,-5.9,2.7,-7.5,-1.8,3.9,2.1,0.1
28,Antigua and Barbuda,5.8,5.9,7.1,2.2,-6.5,-9.8,6.4,2.9,10.5,6.8,5.5,1.2,8,8.8,9.2,9.9,10.3,8.8,5.9,2.9,1.2,-0.5,3,4,-6.8,3.8,2.6,2,1.2,4.5,-6.6,-0.4,4.8,4.6,5.2,10.7,8.7,-1.2,-13.1,-8.3,-3.2,2.4,-1.2,4,3,4.3
32,Argentina,2.1,0.4,2,3.6,-2.2,-1.6,4.8,-4.6,5.4,-0.1,-6.9,-4.7,2.5,0.4,-8.4,5.5,1,-3.4,-8.4,-2.7,9,8.8,4.8,4.5,-4.1,4.3,6.9,2.7,-4.5,-1.9,-5.5,-11.9,7.6,7.8,7.7,6.9,7.9,3,-6.9,9,4.9,-2.1,1.3,-3.5,1.6,-3.3
51,Armenia,,,,,,,,,,,,,,,,,,,,,-10.8,-40.7,-6.6,7.9,9.1,7.5,4.5,8.2,3.9,6.6,10.2,15.7,14.6,11.1,14.6,14.1,14.7,7.9,-13.6,2.6,4.7,6.9,2.8,3.2,2.9,-0.1
533,Aruba,8.4,8.4,8.4,8.6,8.9,9.2,9.5,9.6,9.3,8.9,8.2,7.7,7.6,8,8.8,9.8,17.6,20.1,12.2,2.1,3.8,0.3,1,2.3,-2.1,-2.3,5,4.4,-0.8,2.4,-5.1,-5.4,-0.1,6,-0.1,0.3,1.6,0,-11.4,-3.6,3.2,-1.9,3.6,0.3,-1,-0.7
36,Australia,2,1,2.6,0,1.3,2.4,-0.2,2.9,1.9,2.1,2,-3.5,3.1,3.7,2.5,0.9,4,2.2,1.9,-1.8,-0.9,2.8,2.9,2.8,2.8,2.8,3.3,3.9,2.8,0.9,2.8,2,3,1.9,1.5,2.1,1.9,-0.1,0.1,0.6,2,1,1.2,1,1.4,0.6
40,Austria,4.6,5.8,4.5,3.7,-0.5,4.5,5.1,-0.1,5.5,1.8,-0.1,2,3,0,2.4,2.2,1.2,3,3.5,3.8,2.8,1.3,-0.3,1.7,2.1,2,2,3.5,3.5,3.1,1,1.2,0.2,2.2,1.7,3,3.3,1.2,-4.2,1.4,2.2,0.1,-0.6,0,0.4,1.1
31,Azerbaijan,,,,,,,,,,,,,,,,,,,,,-2.3,-23.8,-24.2,-20.7,-12.9,0.2,4.9,9.1,6.5,10.2,8.9,8.4,9.1,8.1,26.6,33,24.1,9.4,8.1,3.4,-2.8,0.8,4.5,1.4,-0.5,-3.6
44,Bahamas,-1,-5.7,5.4,-18.4,-16.5,3,6.8,11.7,23.4,4.2,-11.2,4.3,1.3,11.8,2.7,-0.1,1.2,0.6,4.9,-3.3,-5.9,-5.6,-1.6,1.4,2.8,2.9,4.9,6.6,2.1,2.6,0.8,0.7,-3.3,-1.2,1.3,0.5,-0.5,-4.1,-5.8,-0.1,-1,1.6,-1.9,-2.5,-4.2,-1
48,Bahrain,-1.9,6.8,9,3.1,-13.8,22.6,5.8,-2.7,-2.4,-2.3,-10.2,-10.3,5.6,2.1,-18.5,-2.1,-1.6,5.2,-1,1.5,1.7,5.1,10.1,-4.5,-0.6,0.6,-0.5,1.7,2.2,2.5,-2.3,-1.9,0.3,0.4,-0.4,-1.2,0.2,-1.3,-3.6,-0.4,-1,2,4.2,2.7,0.2,-0.6
